Byrd	Byrd	Byrd	
Age	Depth	d18O	
(yr BP)	(m)	(_)	o2-based accum @  byrd
19916	1231.92	-37	0.121856287
20013	1233.35	-37.6	0.123832335
20106	1234.78	-37.8	0.124491018
20195	1236.19	-37.1	0.122185629
20293	1237.61	-37.8	0.124491018
20387	1239.04	-37.3	0.122844311
20488	1240.47	-38.3	0.126137725
20583	1241.89	-38.3	0.126137725
20683	1243.31	-37.6	0.123832335
20792	1244.73	-38.1	0.125479042
20888	1246.15	-38.1	0.125479042
20998	1247.57	-38	0.125149701
21099	1248.98	-38.3	0.126137725
21201	1250.39	-38.2	0.125808383
21307	1251.8	-37.9	0.124820359
21411	1253.21	-37.3	0.122844311
21518	1254.62	-37.1	0.122185629
21633	1256.02	-37.4	0.123173653
21755	1257.42	-37.7	0.124161677
21878	1258.82	-37.3	0.122844311
21997.5	1260.22	-37.6	0.123832335
22100.5	1261.61	-38.7	0.12745509
22213.5	1263	-37	0.121856287
22321.5	1264.39	-38	0.125149701
22443	1265.78	-38.7	0.12745509
22557	1267.17	-38.7	0.12745509
22669	1268.56	-38.8	0.127784431
22777	1269.95	-39.1	0.128772455
22888	1271.35	-39.3	0.129431138
22990	1272.74	-38.8	0.127784431
23095	1274.12	-37.5	0.123502994
23209	1275.5	-38.4	0.126467066
23303	1276.88	-38.5	0.126796407
23406	1278.26	-39.1	0.128772455
23528	1279.64	-38.1	0.125479042
23656	1281.01	-39.2	0.129101796
23776	1282.39	-39.2	0.129101796
23896	1283.77	-39.2	0.129101796
24000	1285.13	-39.7	0.130748503
24115	1286.49	-39.7	0.130748503
24229	1287.85	-39.7	0.130748503
24363	1289.21	-39.8	0.131077844
24493	1290.56	-40.3	0.132724551
24615	1291.91	-40.4	0.133053892
24742	1293.26	-39.9	0.131407186
24872	1294.61	-41	0.13502994
24999	1295.96	-40.1	0.132065868
25126	1297.3	-38.8	0.127784431
25256	1298.62	-39.3	0.129431138
25388	1299.94	-39.9	0.131407186
25525	1301.28	-39	0.128443114
25662	1302.62	-40.8	0.134371257
25793	1303.95	-39	0.128443114
25935	1305.28	-39.2	0.129101796
26072	1306.61	-39.3	0.129431138
26204	1307.94	-39.5	0.13008982
26336	1309.27	-38.8	0.127784431
26475	1310.6	-40.2	0.13239521
26609	1311.92	-39.2	0.129101796
26730	1313.25	-38.6	0.127125749
26854	1314.57	-39.9	0.131407186
26980	1315.89	-39.8	0.131077844
27107	1317.21	-39.3	0.129431138
27239	1318.53	-39.8	0.131077844
27381	1319.84	-39.8	0.131077844
27521	1321.14	-39	0.128443114
27633	1322.44	-38.9	0.128113772
27736	1323.74	-39.4	0.129760479
27844	1325.04	-39.9	0.131407186
27987	1326.33	-39.5	0.13008982
28143	1327.63	-39.7	0.130748503
28287	1328.92	-39.8	0.131077844
28417	1330.22	-40	0.131736527
