97.8	709
110.3	800
177	1329
191.8	1463
219.1	1712
265	2139
283.35	2313
292.6	2401
923.35	9696
939.15	9921
961.25	10241
964.3	10286
1024.1	11187
1035.85	11367
1119.6	12858
1137.65	13231
1175.05	14084
1198	14672
1199.25	14705
1241.8	15972
1246.7	16136
1278.6	17322
1279.8	17371
1280.45	17398
1280.85	17415
1281.25	17431
1281.4	17437
1281.65	17448
1281.95	17460
1282.35	17477
1282.7	17492
1282.9	17500
1283	17504
1283.2	17513
1303	18345
1320.95	19072
1324.45	19215
1332.3	19537
1338.85	19806
1354.85	20471
1355.25	20487
1357.8	20594
1423.8	23423
1428	23608
1436.5	23984
1455.8	24846
1493.5	26569
1508.9	27288
1517.75	27705
1535.3	28541
1546.1	29062
1576.95	30575
1640.15	33804
1649.25	34284
1661.55	34939
1688.4	36396
1706.15	37380
1706.85	37419
1721.95	38270
1745.85	39642
1817.8	43981
1819.9	44113
1828.3	44642
1835.05	45072
1835.95	45129
1853.8	46280
1859.8	46673
1878.75	47929
1889.3	48641
