# WAIS Divide WDC06A Core Density, "dirty" version, 0 to 160 m
# Data collected by Daniel J. Breton using MADGE on 3x3x100 cm core sticks
# MADGE paper: www.igsoc.org/journal/55/194/t09J008.pdf
###############################################################################
# This is the DIRTY version of the data, meaning that all core breaks
# and core ends are INCLUDED from this datset.  This dataset IS
# recommended for accumulation rate studies because the core breaks / ends, 
# even though they appear as low density measurements, still accurately 
# represent additional accumulated mass at the site.
###############################################################################
# Columns are as follows:
# Column 1: WDC06A Depth, m
# Column 2: Density, g / cm^3
# Column 3: One-sigma uncertainty in density, g / cm^3.  This value depends on
#           density scanning speed & sample thickness.  Scan speed was not the 
#           same for all sections of core.  Range is 0.003 to 0.006 with a
#           typical value of ~0.004 g / cm^3. 
# Column 4: Sample thickness, cm.  This can sometimes be useful to determine
#           core quality (core breaks, spalls, etc.) which can affect the  
#           quality of the data at that location.  Maximum uncertainty
#           is +/- 0.01 cm.
###############################################################################

0.430	0.63245	0.00309	3.02
0.433	0.61336	0.00308	3.02
0.436	0.59140	0.00305	3.02
0.440	0.59187	0.00306	3.02
0.443	0.58646	0.00306	3.01
0.446	0.57759	0.00306	3.00
0.450	0.54252	0.00302	3.02
0.453	0.55710	0.00302	3.03
0.456	0.60809	0.00307	3.02
0.460	0.63075	0.00310	3.02
0.463	0.63301	0.00310	3.01
0.466	0.61964	0.00309	3.01
0.470	0.63087	0.00310	3.02
0.473	0.60194	0.00308	3.01
0.476	0.55508	0.00305	3.00
0.479	0.58676	0.00308	2.99
0.483	0.57575	0.00304	3.02
0.486	0.54890	0.00304	3.00
0.489	0.49859	0.00301	2.99
0.493	0.53161	0.00304	2.98
0.496	0.51687	0.00303	2.98
0.499	0.56299	0.00306	2.99
0.503	0.56260	0.00305	3.00
0.506	0.54401	0.00303	3.00
0.509	0.58879	0.00309	2.98
0.513	0.60600	0.00310	2.98
0.516	0.60985	0.00310	2.99
0.519	0.61098	0.00309	3.01
0.522	0.62357	0.00310	3.00
0.526	0.60797	0.00309	3.00
0.529	0.61574	0.00308	3.02
0.532	0.60418	0.00308	3.00
0.536	0.62539	0.00310	3.00
0.539	0.59283	0.00307	3.00
0.542	0.60354	0.00307	3.02
0.546	0.59578	0.00308	3.00
0.549	0.56862	0.00305	3.01
0.552	0.60595	0.00309	3.00
0.556	0.58073	0.00306	3.01
0.559	0.55928	0.00306	2.98
0.562	0.59910	0.00309	2.99
0.566	0.55934	0.00304	3.00
0.569	0.54578	0.00305	2.99
0.572	0.54466	0.00301	3.02
0.575	0.57431	0.00306	3.00
0.579	0.59994	0.00307	3.01
0.582	0.62048	0.00310	3.00
