This data file has 3 columns:,,
column 1:,Depth in m below the surface,
column 2:,"Ice age following the WD2014 chronology, in years before 1950 C.E.",
column 3:,"Accumulation reconstructed using an inverse firn densification model, in m ice equivalent per year",
,,
Depth,Ice age,Accumulation
(m),(years bp),(m ice a-1)
691.659,2855,0.2492
693.813,2865,0.2501
696.014,2875,0.2521
698.265,2885,0.2442
700.191,2895,0.2475
702.191,2905,0.2434
704.336,2915,0.2466
706.554,2925,0.2497
708.612,2935,0.2518
710.667,2945,0.2493
712.838,2955,0.2516
715.013,2965,0.2553
717.102,2975,0.2569
719.405,2985,0.2583
721.427,2995,0.2506
723.598,3005,0.2508
725.704,3015,0.2454
727.793,3025,0.2473
729.869,3035,0.247
731.873,3045,0.2461
733.965,3055,0.2453
735.987,3065,0.2469
738.171,3075,0.2543
740.309,3085,0.2521
742.469,3095,0.2443
744.41,3105,0.2437
746.35,3115,0.2434
748.498,3125,0.2581
750.751,3135,0.2625
753.047,3145,0.2598
755.185,3155,0.2493
757.224,3165,0.2444
759.187,3175,0.2513
761.296,3185,0.2525
763.544,3195,0.257
765.617,3205,0.2535
767.636,3215,0.2532
769.806,3225,0.2542
771.999,3235,0.255
774.053,3245,0.2574
776.214,3255,0.2577
778.429,3265,0.2654
780.608,3275,0.2659
782.826,3285,0.2677
785.067,3295,0.2698
787.306,3305,0.2713
789.527,3315,0.2654
791.765,3325,0.2524
793.777,3335,0.2474
795.796,3345,0.2486
797.788,3355,0.2491
799.961,3365,0.2539
802.038,3375,0.2528
804.118,3385,0.2541
806.127,3395,0.2561
808.341,3405,0.2592
810.49,3415,0.2592
812.696,3425,0.2588
814.697,3435,0.2557
816.856,3445,0.2521
818.872,3455,0.2605
821.038,3465,0.2626
823.25,3475,0.2593
825.372,3485,0.258
827.447,3495,0.2608
829.609,3505,0.2565
831.729,3515,0.2513
833.687,3525,0.2569
835.795,3535,0.261
838.036,3545,0.2735
840.261,3555,0.2702
842.544,3565,0.2731
844.687,3575,0.2678
846.916,3585,0.2639
849.112,3595,0.2657
851.054,3605,0.2626
853.203,3615,0.2567
855.383,3625,0.2645
857.473,3635,0.266
859.676,3645,0.2649
861.917,3655,0.2631
863.939,3665,0.2668
866.086,3675,0.2665
868.267,3685,0.2649
870.376,3695,0.2634
872.498,3705,0.2549
874.567,3715,0.2564
876.458,3725,0.2554
878.716,3735,0.2511
880.741,3745,0.2574
882.681,3755,0.252
884.681,3765,0.2515
886.823,3775,0.2528
888.885,3785,0.2595
890.919,3795,0.2701
893.228,3805,0.2734
895.428,3815,0.2729
897.527,3825,0.2706
899.663,3835,0.2678
901.913,3845,0.2685
904.01,3855,0.2614
905.95,3865,0.2594
908.048,3875,0.261
910.151,3885,0.2679
912.402,3895,0.2645
914.506,3905,0.2681
916.544,3915,0.2624
918.69,3925,0.2536
920.748,3935,0.2486
922.517,3945,0.2462
924.549,3955,0.2508
926.592,3965,0.2565
928.573,3975,0.262
930.781,3985,0.262
932.787,3995,0.266
934.884,4005,0.2567
936.895,4015,0.2556
938.882,4025,0.2571
940.897,4035,0.26
943.059,4045,0.2592
945.041,4055,0.2539
947.004,4065,0.2522
948.921,4075,0.25
951.031,4085,0.2563
952.895,4095,0.2602
954.995,4105,0.2595
957.085,4115,0.2577
959.083,4125,0.248
960.992,4135,0.2468
962.782,4145,0.2442
964.836,4155,0.2496
966.704,4165,0.2586
968.776,4175,0.2618
970.913,4185,0.2705
972.966,4195,0.2709
975.193,4205,0.259
977.106,4215,0.2619
979.12,4225,0.2559
981.133,4235,0.2584
983.125,4245,0.2658
985.19,4255,0.2636
987.306,4265,0.2547
989.247,4275,0.2462
991.018,4285,0.2406
992.845,4295,0.2479
994.832,4305,0.2603
996.968,4315,0.2587
998.944,4325,0.259
1000.713,4335,0.2455
1002.671,4345,0.2429
1004.562,4355,0.2446
1006.373,4365,0.2534
1008.275,4375,0.2575
1010.427,4385,0.2644
1012.45,4395,0.2595
1014.435,4405,0.2557
1016.237,4415,0.2522
1018.246,4425,0.2623
1020.361,4435,0.2665
1022.392,4445,0.2559
1024.348,4455,0.2413
1025.998,4465,0.2348
1027.81,4475,0.2363
1029.702,4485,0.2393
1031.568,4495,0.2402
1033.305,4505,0.2375
1035.196,4515,0.2462
1037.038,4525,0.2535
1039.078,4535,0.2555
1040.899,4545,0.2504
1042.82,4555,0.2437
1044.658,4565,0.2509
1046.471,4575,0.2456
1048.393,4585,0.2496
1050.263,4595,0.2525
1052.272,4605,0.251
1054.089,4615,0.251
1056.041,4625,0.2565
1057.778,4635,0.2555
1059.842,4645,0.248
1061.652,4655,0.2487
1063.44,4665,0.2433
1065.301,4675,0.2507
1067.162,4685,0.2482
1069.07,4695,0.2477
1070.845,4705,0.25
1072.787,4715,0.255
1074.714,4725,0.2554
1076.562,4735,0.2589
1078.4,4745,0.2489
1080.359,4755,0.2471
1082.144,4765,0.2428
1083.931,4775,0.2407
1085.661,4785,0.2454
1087.471,4795,0.2465
1089.336,4805,0.2515
1091.218,4815,0.2475
1093.015,4825,0.2458
1094.758,4835,0.239
1096.546,4845,0.2429
1098.265,4855,0.2462
1100.176,4865,0.2536
1102.101,4875,0.2562
1103.933,4885,0.2523
1105.833,4895,0.252
1107.599,4905,0.2542
1109.558,4915,0.2595
1111.308,4925,0.2567
1113.281,4935,0.2517
1115.133,4945,0.247
1116.87,4955,0.2477
1118.608,4965,0.2483
1120.54,4975,0.2471
1122.379,4985,0.2542
1124.083,4995,0.2541
1125.966,5005,0.2547
1127.879,5015,0.2628
1129.671,5025,0.2666
1131.791,5035,0.2693
1133.72,5045,0.2653
1135.586,5055,0.2556
1137.334,5065,0.2526
1139.129,5075,0.257
1141.053,5085,0.2621
1142.885,5095,0.2624
1144.848,5105,0.2574
1146.646,5115,0.252
1148.408,5125,0.2466
1150.12,5135,0.2499
1152.014,5145,0.2517
1153.876,5155,0.2596
1155.62,5165,0.2578
1157.476,5175,0.2637
1159.413,5185,0.2626
1161.378,5195,0.2574
1163.056,5205,0.2522
1164.858,5215,0.246
1166.517,5225,0.254
1168.353,5235,0.2534
1170.245,5245,0.2659
1172.051,5255,0.2698
1174.017,5265,0.257
1175.89,5275,0.2569
1177.589,5285,0.2474
1179.321,5295,0.2455
1181.039,5305,0.2472
1182.845,5315,0.2508
1184.661,5325,0.2605
1186.465,5335,0.264
1188.37,5345,0.2667
1190.295,5355,0.2652
1192.118,5365,0.2585
1193.829,5375,0.2492
1195.543,5385,0.2463
1197.32,5395,0.2613
1199.188,5405,0.2646
1201.066,5415,0.262
1202.959,5425,0.2463
1204.617,5435,0.2464
1206.207,5445,0.2467
1208.008,5455,0.2463
1209.715,5465,0.2513
1211.446,5475,0.245
1213.101,5485,0.2427
1214.756,5495,0.2485
1216.511,5505,0.2552
1218.276,5515,0.2675
1220.222,5525,0.2599
1222.104,5535,0.2561
1223.673,5545,0.2494
1225.476,5555,0.2542
1227.195,5565,0.2591
1229.06,5575,0.2548
1230.763,5585,0.2503
1232.468,5595,0.2502
1234.081,5605,0.2526
1236,5615,0.2575
1237.693,5625,0.2623
1239.551,5635,0.2517
1241.286,5645,0.2483
1242.815,5655,0.2417
1244.5,5665,0.2348
1246.165,5675,0.2428
1247.661,5685,0.2474
1249.493,5695,0.2496
1251.248,5705,0.2562
1252.882,5715,0.2503
1254.558,5725,0.2423
1256.261,5735,0.2513
1257.86,5745,0.248
1259.671,5755,0.2489
1261.293,5765,0.236
1262.829,5775,0.2307
1264.369,5785,0.2326
1266.007,5795,0.2379
1267.637,5805,0.2409
1269.239,5815,0.2411
1270.829,5825,0.2409
1272.516,5835,0.246
1274.167,5845,0.2481
1275.845,5855,0.2407
1277.406,5865,0.2413
1278.955,5875,0.2325
1280.559,5885,0.2325
1282.039,5895,0.2356
1283.609,5905,0.2343
1285.229,5915,0.2364
1286.77,5925,0.2333
1288.323,5935,0.2294
1289.783,5945,0.2323
1291.383,5955,0.2296
1292.92,5965,0.239
1294.385,5975,0.2389
1296.055,5985,0.2392
1297.674,5995,0.2434
1299.276,6005,0.2338
1300.845,6015,0.2348
1302.27,6025,0.2351
1303.901,6035,0.2362
1305.542,6045,0.2373
1307.008,6055,0.2395
1308.638,6065,0.2435
1310.235,6075,0.2432
1311.888,6085,0.2417
1313.386,6095,0.2405
1314.951,6105,0.2272
1316.526,6115,0.2245
1317.927,6125,0.2192
1319.327,6135,0.2223
1320.815,6145,0.2313
1322.38,6155,0.2346
1323.945,6165,0.2393
1325.509,6175,0.2396
1327.063,6185,0.24
1328.561,6195,0.239
1330.17,6205,0.2404
1331.734,6215,0.2462
1333.31,6225,0.2474
1334.962,6235,0.2435
1336.505,6245,0.2466
1338.091,6255,0.2427
1339.743,6265,0.2417
1341.275,6275,0.238
1342.719,6285,0.2339
1344.207,6295,0.2306
1345.859,6305,0.2394
1347.27,6315,0.2342
1348.78,6325,0.2334
1350.323,6335,0.2329
1351.789,6345,0.2402
1353.365,6355,0.2358
1354.863,6365,0.2355
1356.417,6375,0.2342
1357.85,6385,0.2405
1359.36,6395,0.2468
1361.045,6405,0.248
1362.643,6415,0.2516
1364.229,6425,0.2355
1365.706,6435,0.2352
1367.183,6445,0.2366
1368.769,6455,0.2456
1370.246,6465,0.2444
1371.953,6475,0.2497
1373.43,6485,0.2462
1375.038,6495,0.2408
1376.494,6505,0.2457
1378.047,6515,0.2417
1379.71,6525,0.2498
1381.242,6535,0.2498
1382.807,6545,0.25
1384.327,6555,0.2448
1385.925,6565,0.2497
1387.467,6575,0.2429
1389.119,6585,0.2484
1390.531,6595,0.2464
1392.117,6605,0.2468
1393.748,6615,0.2433
1395.29,6625,0.2477
1396.701,6635,0.2358
1398.299,6645,0.236
1399.765,6655,0.2447
1401.308,6665,0.2456
1402.873,6675,0.2475
1404.415,6685,0.2433
1405.87,6695,0.2415
1407.358,6705,0.2364
1408.802,6715,0.2381
1410.306,6725,0.2404
1411.811,6735,0.2428
1413.31,6745,0.2405
1414.83,6755,0.2422
1416.362,6765,0.2399
1417.818,6775,0.2439
1419.338,6785,0.237
1420.782,6795,0.2415
1422.281,6805,0.2333
1423.846,6815,0.2396
1425.104,6825,0.2398
1426.691,6835,0.2398
1428.157,6845,0.2427
1429.666,6855,0.2384
1431.067,6865,0.2343
1432.588,6875,0.2309
1433.944,6885,0.2296
1435.301,6895,0.2272
1436.712,6905,0.2356
1438.233,6915,0.2421
1439.699,6925,0.2436
1441.165,6935,0.241
1442.61,6945,0.2407
1444.087,6955,0.2411
1445.596,6965,0.2432
