-500	0.336
1	0.366
2	0.388
3	0.406
4	0.44
5	0.451
6	0.476
7	0.493
8	0.516
9	0.524
10	0.544
11	0.546
12	0.56
13	0.565
14	0.575
15	0.582
16	0.593
17	0.599
18	0.606
19	0.613
20	0.624
21	0.626
22	0.632
23	0.634
24	0.63
25	0.638
26	0.643
27	0.653
28	0.655
29	0.66
30	0.673
31	0.676
32	0.684
33	0.69
34	0.695
35	0.699
36	0.704
37	0.71
38	0.715
39	0.723
40	0.724
41	0.729
42	0.736
43	0.738
44	0.746
45	0.743
46	0.75
47	0.757
48	0.762
49	0.773
50	0.771
51	0.781
52	0.786
53	0.786
54	0.796
55	0.79
56	0.798
57	0.798
58	0.809
59	0.815
60	0.813
61	0.816
62	0.82
63	0.825
64	0.83
65	0.8456
66	0.8471
67	0.8505
68	0.851
69	0.8529
70	0.8595
71	0.8568
72	0.8645
73	0.8677
74	0.8666
75	0.87
76	0.8731
77	0.8738
78	0.8749
79	0.8788
80	0.8807
81	0.8796
82	0.8825
83	0.8833
84	0.8853
85	0.8865
86	0.8875
87	0.8896
88	0.8905
89	0.8916
90	0.8929
91	0.8944
92	0.8943
93	0.8961
94	0.8952
95	0.8957
96	0.8972
97	0.8983
98	0.8978
99	0.8998
100	0.9001
104	0.9026
110	0.9055
116	0.9074
122	0.9084
129	0.9104
135	0.9111
145	0.9125
152	0.9129
158	0.9133
164	0.9139
168	0.9142
171	0.914
174	0.9145
175	0.9144
177	0.9141
180	0.9146
182	0.9145
186	0.9148
187	0.9148
188	0.9149
191	0.9147
193	0.9148
198	0.9152
199	0.9152
203	0.9155
206	0.9153
209	0.9151
214	0.9152
219	0.9153
226	0.9153
233	0.9153
242	0.9157
247	0.9154
252	0.9158
258	0.9157
264	0.9156
268	0.9155
280	0.9155
284	0.9155
291	0.9158
296	0.916
302	0.917
307	0.917
1000	0.917
2164	0.917
6000	0.917
